Date,Open,High,Low,Close,Volume
2015-08-21,6180,7300,5600,7100,1994022
2015-08-24,6700,6940,6240,6480,392831
2015-08-25,6610,6730,6189,6220,242730
2015-08-26,6260,7760,6260,7090,703721
2015-08-27,7239,8060,6960,7570,499913
2015-08-28,7660,7840,7090,7140,191315
2015-08-31,7260,7260,6610,6700,203023
2015-09-01,6840,7050,6640,6650,149519
2015-09-02,6520,7330,6400,7220,160592
2015-09-03,7230,7790,7060,7580,135862
2015-09-04,7660,7760,7070,7320,73376
2015-09-07,7220,7520,7070,7290,60538
2015-09-08,7350,7440,6760,6960,53417
2015-09-09,7100,7240,6850,7160,42730
2015-09-10,7130,7130,6790,6930,55167
2015-09-11,6980,7220,6810,7070,42340
2015-09-14,7110,7170,6890,6890,37538
2015-09-15,6890,7540,6760,7520,146439
2015-09-16,7569,7710,7319,7630,50323
2015-09-17,7640,7989,7500,7770,92741
2015-09-18,7770,8330,7629,7970,106905
2015-09-21,7780,8130,7780,8010,40582
2015-09-22,8010,8100,7509,7690,76228
2015-09-23,7620,8020,7580,7750,69795
2015-09-24,7780,8420,7670,8400,109989
2015-09-25,8450,8580,8170,8490,60924
2015-09-30,8350,8880,8330,8770,75184
2015-10-01,8790,8870,8550,8550,51739
2015-10-02,8420,8640,8340,8600,51291
2015-10-05,8660,8820,8440,8720,33538
2015-10-06,8760,8790,8470,8600,17304
2015-10-07,8600,8700,8310,8600,19893
2015-10-08,8600,8700,8350,8390,21960
2015-10-12,8360,8670,8109,8600,20117
2015-10-13,8600,9050,8570,8880,47399
2015-10-14,9020,9700,8880,9610,66319
2015-10-15,9590,10380,9080,9590,143753
2015-10-16,9590,10040,9320,9900,53851
2015-10-19,9910,10080,9600,9800,40006
2015-10-20,9940,10260,9780,10020,36630
2015-10-21,10080,10080,9700,9880,30032
2015-10-22,9700,9880,9430,9680,33181
2015-10-23,9680,9800,9430,9460,25823
2015-10-26,9600,9600,9100,9480,29412
2015-10-27,9250,9480,9220,9400,24219
2015-10-28,9220,9790,9210,9790,35738
2015-10-29,9790,9900,9410,9410,16007
2015-10-30,9400,9720,9280,9480,22733
2015-11-02,9480,9480,9210,9230,19930
2015-11-03,9160,9590,9150,9160,25394
2015-11-04,9160,9160,8400,8970,68299
2015-11-05,8900,9860,8600,9600,65224
2015-11-06,9450,9740,9360,9480,25070
2015-11-09,9480,9550,9000,9280,15780
2015-11-10,9270,9280,8770,8990,38196
2015-11-11,8990,9340,8940,8980,22624
2015-11-12,8990,9170,8610,8690,22652
2015-11-13,8690,8740,8390,8620,22723
2015-11-16,8320,8700,8290,8500,16409
2015-11-17,8500,8740,8500,8590,12888
2015-11-18,8710,8710,8260,8380,16746
2015-11-19,8370,8840,8310,8800,19662
2015-11-20,8780,8920,8620,8920,14798
2015-11-23,8700,8900,8500,8610,64282
2015-11-24,8630,8700,8420,8460,28842
2015-11-25,8460,8640,8390,8420,20342
2015-11-26,8410,8760,8360,8500,27246
2015-11-27,8700,8700,8340,8630,33029
2015-11-30,8580,8580,8360,8420,13100
2015-12-01,8580,8660,8450,8620,30401
2015-12-02,8660,9170,8630,8820,49388
2015-12-03,8820,9000,8820,8900,16917
2015-12-04,8900,9060,8720,8930,17792
2015-12-07,8860,9390,8840,9230,22250
2015-12-08,9370,9370,9040,9220,18399
2015-12-09,9200,9280,9020,9180,8773
2015-12-10,9240,9520,9180,9300,18531
2015-12-11,9500,9640,9120,9500,30690
2015-12-14,9300,9500,8990,9050,16077
2015-12-15,9190,9240,9020,9220,10740
2015-12-16,9350,9400,9220,9230,6102
2015-12-17,9300,9300,8940,9170,21894
2015-12-18,9170,9800,9020,9740,30547
2015-12-21,9630,9900,9550,9800,16536
2015-12-22,9700,9860,9550,9830,13403
2015-12-23,9830,9960,9420,9430,13373
2015-12-24,9430,9590,9170,9210,16525
2015-12-28,9340,9340,8870,9140,10243
2015-12-29,9010,9500,9010,9310,10122
2015-12-30,9580,9580,9230,9420,5703
2016-01-04,9560,9730,9420,9600,20135
2016-01-05,9450,9550,9360,9540,8225
2016-01-06,9610,9610,9440,9560,7271
2016-01-07,9580,9580,9120,9300,5358
2016-01-08,9050,9330,9040,9220,7056
2016-01-11,9380,9380,9120,9260,3375
2016-01-12,9400,9400,8800,9070,14669
2016-01-13,9200,9200,8860,8860,8637
2016-01-14,8800,8900,8410,8620,11301
2016-01-15,8690,8950,8620,8630,4986
2016-01-18,8720,8800,8550,8790,7378
2016-01-19,8790,8870,8400,8620,24701
2016-01-20,8640,8700,8400,8620,11677
2016-01-21,8630,8630,8310,8390,13105
2016-01-22,8320,8560,7800,8340,9794
2016-01-25,8290,8490,8290,8420,3389
2016-01-26,8460,8640,8300,8380,7376
2016-01-27,8520,8540,8300,8440,3867
2016-01-28,8480,8580,8070,8510,10046
2016-01-29,8560,8640,8400,8420,4348
2016-02-01,8520,8520,8250,8350,3778
2016-02-02,8290,8460,8210,8330,4317
2016-02-03,8330,8390,8150,8220,7186
2016-02-04,8160,8220,7869,8130,14487
2016-02-05,8139,8200,7950,7980,11308
2016-02-11,7980,8100,7540,7880,11071
